"name","description","page"
"ensembl_gene_id","Gene stable ID","feature_page"
"ensembl_transcript_id","Transcript stable ID","feature_page"
"ensembl_peptide_id","Protein stable ID","feature_page"
"ensembl_exon_id","Exon stable ID","feature_page"
"description","Gene description","feature_page"
"chromosome_name","Chromosome/scaffold name","feature_page"
"start_position","Gene start (bp)","feature_page"
"end_position","Gene end (bp)","feature_page"
"strand","Strand","feature_page"
"band","Karyotype band","feature_page"
"transcript_start","Transcript start (bp)","feature_page"
"transcript_end","Transcript end (bp)","feature_page"
"transcription_start_site","Transcription start site (TSS)","feature_page"
"transcript_length","Transcript length (including UTRs and CDS)","feature_page"
"external_gene_name","Gene name","feature_page"
"external_gene_source","Source of gene name","feature_page"
"transcript_count","Transcript count","feature_page"
"percentage_gene_gc_content","Gene % GC content","feature_page"
"gene_biotype","Gene type","feature_page"
"transcript_biotype","Transcript type","feature_page"
"source","Source (gene)","feature_page"
"transcript_source","Source (transcript)","feature_page"
"external_synonym","Gene Synonym","feature_page"
"go_id","GO term accession","feature_page"
"name_1006","GO term name","feature_page"
"definition_1006","GO term definition","feature_page"
"go_linkage_type","GO term evidence code","feature_page"
"namespace_1003","GO domain","feature_page"
"goslim_goa_accession","GOSlim GOA Accession(s)","feature_page"
"goslim_goa_description","GOSlim GOA Description","feature_page"
"embl","European Nucleotide Archive ID","feature_page"
"protein_id","INSDC protein ID","feature_page"
"kegg_enzyme","KEGG Pathway and Enzyme ID","feature_page"
"merops","MEROPS - the Peptidase Database ID","feature_page"
"entrezgene_description","NCBI gene (formerly Entrezgene) description","feature_page"
"entrezgene_accession","NCBI gene (formerly Entrezgene) accession","feature_page"
"entrezgene_id","NCBI gene (formerly Entrezgene) ID","feature_page"
"pdb","PDB ID","feature_page"
"plant_reactome_pathway","Plant Reactome Pathway ID","feature_page"
"plant_reactome_reaction","Plant Reactome Reaction ID","feature_page"
"refseq_dna","RefSeq DNA ID","feature_page"
"refseq_peptide","RefSeq peptide ID","feature_page"
"rfam","RFAM ID","feature_page"
"string","STRING ID","feature_page"
"trnascan_se","tRNAScan-SE ID","feature_page"
"uniparc","UniParc ID","feature_page"
"uniprotvarsplic","UniProtKB/SpliceVariant ID","feature_page"
"uniprotswissprot","UniProtKB/Swiss-Prot ID","feature_page"
"uniprotsptrembl","UniProtKB/TrEMBL ID","feature_page"
"affy_tomato","AFFY Tomato probe","feature_page"
"affy_tomgene","AFFY TomGene probe","feature_page"
"agilent_g2519f_022270","AGILENT G2519F 022270 probe","feature_page"
"cdd","CDD ID","feature_page"
"cdd_start","CDD start","feature_page"
"cdd_end","CDD end","feature_page"
"gene3d","Gene3D ID","feature_page"
"gene3d_start","Gene3D start","feature_page"
"gene3d_end","Gene3D end","feature_page"
"hamap","HAMAP ID","feature_page"
"hamap_start","HAMAP start","feature_page"
"hamap_end","HAMAP end","feature_page"
"hmmpanther","PANTHER ID","feature_page"
"hmmpanther_start","PANTHER start","feature_page"
"hmmpanther_end","PANTHER end","feature_page"
"pfam","Pfam ID","feature_page"
"pfam_start","Pfam start","feature_page"
"pfam_end","Pfam end","feature_page"
"pirsf","PIRSF ID","feature_page"
"pirsf_start","PIRSF start","feature_page"
"pirsf_end","PIRSF end","feature_page"
"prints","Prints ID","feature_page"
"prints_start","Prints start","feature_page"
"prints_end","Prints end","feature_page"
"scanprosite","PROSITE patterns ID","feature_page"
"scanprosite_start","PROSITE patterns start","feature_page"
"scanprosite_end","PROSITE patterns end","feature_page"
"pfscan","PROSITE profiles ID","feature_page"
"pfscan_start","PROSITE profiles start","feature_page"
"pfscan_end","PROSITE profiles end","feature_page"
"sfld","SFLD ID","feature_page"
"sfld_start","SFLD start","feature_page"
"sfld_end","SFLD end","feature_page"
"smart","SMART ID","feature_page"
"smart_start","SMART start","feature_page"
"smart_end","SMART end","feature_page"
"superfamily","Superfamily ID","feature_page"
"superfamily_start","Superfamily start","feature_page"
"superfamily_end","Superfamily end","feature_page"
"tigrfam","TIGRFAM ID","feature_page"
"tigrfam_start","TIGRFAM start","feature_page"
"tigrfam_end","TIGRFAM end","feature_page"
"interpro","Interpro ID","feature_page"
"interpro_short_description","Interpro Short Description","feature_page"
"interpro_description","Interpro Description","feature_page"
"interpro_start","Interpro start","feature_page"
"interpro_end","Interpro end","feature_page"
"mobidblite","MobiDB lite","feature_page"
"mobidblite_start","MobiDB lite start","feature_page"
"mobidblite_end","MobiDB lite end","feature_page"
"ncoils","Coiled-coils (Ncoils)","feature_page"
"ncoils_start","Coiled-coils (Ncoils) start","feature_page"
"ncoils_end","Coiled-coils (Ncoils) end","feature_page"
"seg","Low complexity (Seg)","feature_page"
"seg_start","Low complexity (Seg) start","feature_page"
"seg_end","Low complexity (Seg) end","feature_page"
"signalp","Cleavage site (Signalp)","feature_page"
"signalp_start","Cleavage site (Signalp) start","feature_page"
"signalp_end","Cleavage site (Signalp) end","feature_page"
"tmhmm","Transmembrane helices","feature_page"
"tmhmm_start","Transmembrane helices start","feature_page"
"tmhmm_end","Transmembrane helices end","feature_page"
"ensembl_gene_id","Gene stable ID","structure"
"ensembl_transcript_id","Transcript stable ID","structure"
"ensembl_peptide_id","Protein stable ID","structure"
"chromosome_name","Chromosome/scaffold name","structure"
"start_position","Gene start (bp)","structure"
"end_position","Gene end (bp)","structure"
"transcript_start","Transcript start (bp)","structure"
"transcript_end","Transcript end (bp)","structure"
"transcription_start_site","Transcription start site (TSS)","structure"
"transcript_length","Transcript length (including UTRs and CDS)","structure"
"strand","Strand","structure"
"external_gene_name","Gene name","structure"
"external_gene_source","Source of gene name","structure"
"5_utr_start","5' UTR start","structure"
"5_utr_end","5' UTR end","structure"
"3_utr_start","3' UTR start","structure"
"3_utr_end","3' UTR end","structure"
"cds_length","CDS Length","structure"
"transcript_count","Transcript count","structure"
"description","Gene description","structure"
"gene_biotype","Gene type","structure"
"exon_chrom_start","Exon region start (bp)","structure"
"exon_chrom_end","Exon region end (bp)","structure"
"is_constitutive","Constitutive exon","structure"
"rank","Exon rank in transcript","structure"
"phase","Start phase","structure"
"end_phase","End phase","structure"
"cdna_coding_start","cDNA coding start","structure"
"cdna_coding_end","cDNA coding end","structure"
"genomic_coding_start","Genomic coding start","structure"
"genomic_coding_end","Genomic coding end","structure"
"ensembl_exon_id","Exon stable ID","structure"
"cds_start","CDS start","structure"
"cds_end","CDS end","structure"
"ensembl_gene_id","Gene stable ID","homologs"
"ensembl_transcript_id","Transcript stable ID","homologs"
"ensembl_peptide_id","Protein stable ID","homologs"
"chromosome_name","Chromosome/scaffold name","homologs"
"start_position","Gene start (bp)","homologs"
"end_position","Gene end (bp)","homologs"
"strand","Strand","homologs"
"band","Karyotype band","homologs"
"external_gene_name","Gene name","homologs"
"external_gene_source","Source of gene name","homologs"
"transcript_count","Transcript count","homologs"
"percentage_gene_gc_content","Gene % GC content","homologs"
"description","Gene description","homologs"
"achinensis_eg_homolog_ensembl_gene","Actinidia chinensis gene stable ID","homologs"
"achinensis_eg_homolog_associated_gene_name","Actinidia chinensis gene name","homologs"
"achinensis_eg_homolog_ensembl_peptide","Actinidia chinensis protein or transcript stable ID","homologs"
"achinensis_eg_homolog_chromosome","Actinidia chinensis chromosome/scaffold name","homologs"
"achinensis_eg_homolog_chrom_start","Actinidia chinensis chromosome/scaffold start (bp)","homologs"
"achinensis_eg_homolog_chrom_end","Actinidia chinensis chromosome/scaffold end (bp)","homologs"
"achinensis_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"achinensis_eg_homolog_subtype","Last common ancestor with Actinidia chinensis","homologs"
"achinensis_eg_homolog_orthology_type","Actinidia chinensis homology type","homologs"
"achinensis_eg_homolog_perc_id","%id. target Actinidia chinensis gene identical to query gene","homologs"
"achinensis_eg_homolog_perc_id_r1","%id. query gene identical to target Actinidia chinensis gene","homologs"
"achinensis_eg_homolog_wga_coverage","Actinidia chinensis Whole-genome alignment coverage","homologs"
"achinensis_eg_homolog_orthology_confidence","Actinidia chinensis orthology confidence [0 low, 1 high]","homologs"
"atauschii_eg_homolog_ensembl_gene","Aegilops tauschii gene stable ID","homologs"
"atauschii_eg_homolog_associated_gene_name","Aegilops tauschii gene name","homologs"
"atauschii_eg_homolog_ensembl_peptide","Aegilops tauschii protein or transcript stable ID","homologs"
"atauschii_eg_homolog_chromosome","Aegilops tauschii chromosome/scaffold name","homologs"
"atauschii_eg_homolog_chrom_start","Aegilops tauschii chromosome/scaffold start (bp)","homologs"
"atauschii_eg_homolog_chrom_end","Aegilops tauschii chromosome/scaffold end (bp)","homologs"
"atauschii_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"atauschii_eg_homolog_subtype","Last common ancestor with Aegilops tauschii","homologs"
"atauschii_eg_homolog_orthology_type","Aegilops tauschii homology type","homologs"
"atauschii_eg_homolog_perc_id","%id. target Aegilops tauschii gene identical to query gene","homologs"
"atauschii_eg_homolog_perc_id_r1","%id. query gene identical to target Aegilops tauschii gene","homologs"
"atauschii_eg_homolog_orthology_confidence","Aegilops tauschii orthology confidence [0 low, 1 high]","homologs"
"atrichopoda_eg_homolog_ensembl_gene","Amborella trichopoda gene stable ID","homologs"
"atrichopoda_eg_homolog_associated_gene_name","Amborella trichopoda gene name","homologs"
"atrichopoda_eg_homolog_ensembl_peptide","Amborella trichopoda protein or transcript stable ID","homologs"
"atrichopoda_eg_homolog_chromosome","Amborella trichopoda chromosome/scaffold name","homologs"
"atrichopoda_eg_homolog_chrom_start","Amborella trichopoda chromosome/scaffold start (bp)","homologs"
"atrichopoda_eg_homolog_chrom_end","Amborella trichopoda chromosome/scaffold end (bp)","homologs"
"atrichopoda_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"atrichopoda_eg_homolog_subtype","Last common ancestor with Amborella trichopoda","homologs"
"atrichopoda_eg_homolog_orthology_type","Amborella trichopoda homology type","homologs"
"atrichopoda_eg_homolog_perc_id","%id. target Amborella trichopoda gene identical to query gene","homologs"
"atrichopoda_eg_homolog_perc_id_r1","%id. query gene identical to target Amborella trichopoda gene","homologs"
"atrichopoda_eg_homolog_orthology_confidence","Amborella trichopoda orthology confidence [0 low, 1 high]","homologs"
"acomosus_eg_homolog_ensembl_gene","Ananas comosus gene stable ID","homologs"
"acomosus_eg_homolog_associated_gene_name","Ananas comosus gene name","homologs"
"acomosus_eg_homolog_ensembl_peptide","Ananas comosus protein or transcript stable ID","homologs"
"acomosus_eg_homolog_chromosome","Ananas comosus chromosome/scaffold name","homologs"
"acomosus_eg_homolog_chrom_start","Ananas comosus chromosome/scaffold start (bp)","homologs"
"acomosus_eg_homolog_chrom_end","Ananas comosus chromosome/scaffold end (bp)","homologs"
"acomosus_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"acomosus_eg_homolog_subtype","Last common ancestor with Ananas comosus","homologs"
"acomosus_eg_homolog_orthology_type","Ananas comosus homology type","homologs"
"acomosus_eg_homolog_perc_id","%id. target Ananas comosus gene identical to query gene","homologs"
"acomosus_eg_homolog_perc_id_r1","%id. query gene identical to target Ananas comosus gene","homologs"
"acomosus_eg_homolog_orthology_confidence","Ananas comosus orthology confidence [0 low, 1 high]","homologs"
"ahalleri_eg_homolog_ensembl_gene","Arabidopsis halleri gene stable ID","homologs"
"ahalleri_eg_homolog_associated_gene_name","Arabidopsis halleri gene name","homologs"
"ahalleri_eg_homolog_ensembl_peptide","Arabidopsis halleri protein or transcript stable ID","homologs"
"ahalleri_eg_homolog_chromosome","Arabidopsis halleri chromosome/scaffold name","homologs"
"ahalleri_eg_homolog_chrom_start","Arabidopsis halleri chromosome/scaffold start (bp)","homologs"
"ahalleri_eg_homolog_chrom_end","Arabidopsis halleri chromosome/scaffold end (bp)","homologs"
"ahalleri_eg_homolog_canonical_transcript_protein","Query protein or transcript ID","homologs"
"ahalleri_eg_homolog_subtype","Last common ancestor with Arabidopsis halleri","homologs"
"ahalleri_eg_homolog_orthology_type","Arabidopsis halleri homology type","homologs"
"ahalleri_eg_homolog_perc_id","%id. target Arabidopsis halleri gene identical to query gene","homologs"
"ahalleri_eg_homolog_perc_id_r1","%id. query gene identical to target Arabidopsis halleri gene","homologs"
"ahalleri_eg_homolog_orthology_confidence","Arabidopsis halleri orthology confidence [0 low, 1 high]","homologs"
"alyrata_eg_homolog_ensembl_gene","Arabidopsis lyrata gene stable ID","homologs"
"alyrata_eg_homolog_associated_gene_name","Arabidopsis lyrata gene name","homologs"
"alyrata_eg_homolog_ensembl_peptide","Arabidopsis lyrata protein or transcript stable ID","homologs"
"alyrata_eg_homolog_chromosome","Arabidopsis lyrata chromosome/scaffold name","homologs"
"alyrata_eg_homolog_chrom_start","Arabidopsis lyrata chromosome/scaffold start (bp)","homologs"
